doc_id,title,department,year,region,text
D001,"Document Title D001 (marketing)",marketing,2020,north_america,"This is the body text of document D001 in department marketing for region north_america and year 2020."
D002,"Document Title D002 (engineering)",engineering,2024,europe,"This is the body text of document D002 in department engineering for region europe and year 2024."
D003,"Document Title D003 (finance)",finance,2022,europe,"This is the body text of document D003 in department finance for region europe and year 2022."
D004,"Document Title D004 (engineering)",engineering,2023,latin_america,"This is the body text of document D004 in department engineering for region latin_america and year 2023."
D005,"Document Title D005 (engineering)",engineering,2024,north_america,"This is the body text of document D005 in department engineering for region north_america and year 2024."
D006,"Document Title D006 (finance)",finance,2023,north_america,"This is the body text of document D006 in department finance for region north_america and year 2023."
D007,"Document Title D007 (finance)",finance,2021,asia_pacific,"This is the body text of document D007 in department finance for region asia_pacific and year 2021."
D008,"Document Title D008 (marketing)",marketing,2023,europe,"This is the body text of document D008 in department marketing for region europe and year 2023."
D009,"Document Title D009 (engineering)",engineering,2024,north_america,"This is the body text of document D009 in department engineering for region north_america and year 2024."
D010,"Document Title D010 (finance)",finance,2022,north_america,"This is the body text of document D010 in department finance for region north_america and year 2022."
D011,"Document Title D011 (legal)",legal,2021,europe,"This is the body text of document D011 in department legal for region europe and year 2021."
D012,"Document Title D012 (legal)",legal,2024,latin_america,"This is the body text of document D012 in department legal for region latin_america and year 2024."
D013,"Document Title D013 (legal)",legal,2025,europe,"This is the body text of document D013 in department legal for region europe and year 2025."
D014,"Document Title D014 (sales)",sales,2021,north_america,"This is the body text of document D014 in department sales for region north_america and year 2021."
D015,"Document Title D015 (marketing)",marketing,2021,europe,"This is the body text of document D015 in department marketing for region europe and year 2021."
D016,"Document Title D016 (legal)",legal,2026,latin_america,"This is the body text of document D016 in department legal for region latin_america and year 2026."
D017,"Document Title D017 (finance)",finance,2021,latin_america,"This is the body text of document D017 in department finance for region latin_america and year 2021."
D018,"Document Title D018 (engineering)",engineering,2022,europe,"This is the body text of document D018 in department engineering for region europe and year 2022."
